Nom de la commune;Code département;Nom de la région;Nom de la commune
Anglet;64;Nouvelle-Aquitaine;38663
Bayonne;64;Nouvelle-Aquitaine;50589
Pau;64;Nouvelle-Aquitaine;77251
Tarbes;65;Occitanie;40318
Perpignan;66;Occitanie;121875
Haguenau;67;Grand Est;34460
Illkirch-Graffenstaden;67;Grand Est;26837
Schiltigheim;67;Grand Est;31811
Strasbourg;67;Grand Est;279284
Colmar;68;Grand Est;69899
Mulhouse;68;Grand Est;108999
Bron;69;Auvergne-Rhône-Alpes;41060
Caluire-et-Cuire;69;Auvergne-Rhône-Alpes;42915
Décines-Charpieu;69;Auvergne-Rhône-Alpes;27851
Lyon 1er Arrondissement;69;Auvergne-Rhône-Alpes;29575
Lyon 2e Arrondissement;69;Auvergne-Rhône-Alpes;30435
Lyon 3e Arrondissement;69;Auvergne-Rhône-Alpes;101992
Lyon 4e Arrondissement;69;Auvergne-Rhône-Alpes;36080
Lyon 5e Arrondissement;69;Auvergne-Rhône-Alpes;48929
Lyon 6e Arrondissement;69;Auvergne-Rhône-Alpes;51416
Lyon 7e Arrondissement;69;Auvergne-Rhône-Alpes;82045
Lyon 8e Arrondissement;69;Auvergne-Rhône-Alpes;84517
Lyon 9e Arrondissement;69;Auvergne-Rhône-Alpes;50706
Meyzieu;69;Auvergne-Rhône-Alpes;32996
Oullins;69;Auvergne-Rhône-Alpes;26512
Rillieux-la-Pape;69;Auvergne-Rhône-Alpes;29885
Saint-Priest;69;Auvergne-Rhône-Alpes;45844
Vaulx-en-Velin;69;Auvergne-Rhône-Alpes;48497
Vénissieux;69;Auvergne-Rhône-Alpes;65405
Villefranche-sur-Saône;69;Auvergne-Rhône-Alpes;37266
Villeurbanne;69;Auvergne-Rhône-Alpes;149019
Chalon-sur-Saône;71;Bourgogne-Franche-Comté;45446
Mâcon;71;Bourgogne-Franche-Comté;33427
Le Mans;72;Pays de la Loire;142991
Aix-les-Bains;73;Auvergne-Rhône-Alpes;29799
Chambéry;73;Auvergne-Rhône-Alpes;59183
Annecy;74;Auvergne-Rhône-Alpes;126419
Annemasse;74;Auvergne-Rhône-Alpes;35041
Thonon-les-Bains;74;Auvergne-Rhône-Alpes;35132
Paris;75;Île-de-France;2190327
Dieppe;76;Normandie;29606
Le Grand-Quevilly;76;Normandie;25897
Le Havre;76;Normandie;170352
Rouen;76;Normandie;110117
Saint-Étienne-du-Rouvray;76;Normandie;28696
Sotteville-lès-Rouen;76;Normandie;28991
Bussy-Saint-Georges;77;Île-de-France;26971
Chelles;77;Île-de-France;54196
Meaux;77;Île-de-France;54331
Melun;77;Île-de-France;40228
Pontault-Combault;77;Île-de-France;38326
Savigny-le-Temple;77;Île-de-France;30097
Villeparisis;77;Île-de-France;26327
Chatou;78;Île-de-France;31134
Le Chesnay;78;Île-de-France;28001
Conflans-Sainte-Honorine;78;Île-de-France;35404
Élancourt;78;Île-de-France;25529
Guyancourt;78;Île-de-France;28385
Houilles;78;Île-de-France;31689
Mantes-la-Jolie;78;Île-de-France;43969
Montigny-le-Bretonneux;78;Île-de-France;32986
Les Mureaux;78;Île-de-France;32575
Plaisir;78;Île-de-France;31680
Poissy;78;Île-de-France;37146
Rambouillet;78;Île-de-France;26202
Saint-Germain-en-Laye;78;Île-de-France;39982
Sartrouville;78;Île-de-France;52648
Trappes;78;Île-de-France;32679
Versailles;78;Île-de-France;85346
Niort;79;Nouvelle-Aquitaine;59005
Amiens;80;Hauts-de-France;133755
Albi;81;Occitanie;49024
Castres;81;Occitanie;41338
Montauban;82;Occitanie;60444
Draguignan;83;Provence-Alpes-Côte d'Azur;40053
Fréjus;83;Provence-Alpes-Côte d'Azur;53168
La Garde;83;Provence-Alpes-Côte d'Azur;25236
Hyères;83;Provence-Alpes-Côte d'Azur;55772
Saint-Raphaël;83;Provence-Alpes-Côte d'Azur;35222
La Seyne-sur-Mer;83;Provence-Alpes-Côte d'Azur;64620
Six-Fours-les-Plages;83;Provence-Alpes-Côte d'Azur;33250
Toulon;83;Provence-Alpes-Côte d'Azur;169634
Avignon;84;Provence-Alpes-Côte d'Azur;92378
Carpentras;84;Provence-Alpes-Côte d'Azur;28554
Cavaillon;84;Provence-Alpes-Côte d'Azur;26492
Orange;84;Provence-Alpes-Côte d'Azur;29212
La Roche-sur-Yon;85;Pays de la Loire;53741
Châtellerault;86;Nouvelle-Aquitaine;32057
Poitiers;86;Nouvelle-Aquitaine;87961
Limoges;87;Nouvelle-Aquitaine;132660
Épinal;88;Grand Est;31558
Auxerre;89;Bourgogne-Franche-Comté;34846
Sens;89;Bourgogne-Franche-Comté;25913
Belfort;90;Bourgogne-Franche-Comté;48973
Athis-Mons;91;Île-de-France;33691
Brétigny-sur-Orge;91;Île-de-France;26275
Brunoy;91;Île-de-France;26055
Corbeil-Essonnes;91;Île-de-France;51049
Draveil;91;Île-de-France;29279
Évry;91;Île-de-France;54663
Grigny;91;Île-de-France;28958
Massy;91;Île-de-France;49924
Palaiseau;91;Île-de-France;34120
Ris-Orangis;91;Île-de-France;28796
Sainte-Geneviève-des-Bois;91;Île-de-France;35859
Savigny-sur-Orge;91;Île-de-France;36307
Vigneux-sur-Seine;91;Île-de-France;31256
Viry-Châtillon;91;Île-de-France;30575
Yerres;91;Île-de-France;28820
Antony;92;Île-de-France;62210
Asnières-sur-Seine;92;Île-de-France;85973
Bagneux;92;Île-de-France;39763
Bois-Colombes;92;Île-de-France;28323
Boulogne-Billancourt;92;Île-de-France;119645
Châtenay-Malabry;92;Île-de-France;33016
Châtillon;92;Île-de-France;36779
Clamart;92;Île-de-France;52528
Clichy;92;Île-de-France;60387
Colombes;92;Île-de-France;85368
Courbevoie;92;Île-de-France;81720
La Garenne-Colombes;92;Île-de-France;29248
Gennevilliers;92;Île-de-France;46653
Issy-les-Moulineaux;92;Île-de-France;68395
Levallois-Perret;92;Île-de-France;63462
Malakoff;92;Île-de-France;29973
Meudon;92;Île-de-France;45328
Montrouge;92;Île-de-France;49128
Nanterre;92;Île-de-France;94258
Neuilly-sur-Seine;92;Île-de-France;60580
Le Plessis-Robinson;92;Île-de-France;29028
Puteaux;92;Île-de-France;44662
Rueil-Malmaison;92;Île-de-France;78195
Saint-Cloud;92;Île-de-France;30193
Suresnes;92;Île-de-France;48620
Vanves;92;Île-de-France;27846
Aubervilliers;93;Île-de-France;86061
Aulnay-sous-Bois;93;Île-de-France;84662
Bagnolet;93;Île-de-France;35864
Le Blanc-Mesnil;93;Île-de-France;55987
Bobigny;93;Île-de-France;52337
Bondy;93;Île-de-France;53193
Clichy-sous-Bois;93;Île-de-France;29835
La Courneuve;93;Île-de-France;42485
Drancy;93;Île-de-France;70269
Épinay-sur-Seine;93;Île-de-France;55593
Gagny;93;Île-de-France;39148
Livry-Gargan;93;Île-de-France;44466
Montfermeil;93;Île-de-France;26085
Montreuil;93;Île-de-France;108402
Neuilly-sur-Marne;93;Île-de-France;34685
Noisy-le-Grand;93;Île-de-France;66659
Noisy-le-Sec;93;Île-de-France;43537
Pantin;93;Île-de-France;55342
Pierrefitte-sur-Seine;93;Île-de-France;29608
Romainville;93;Île-de-France;26510
Rosny-sous-Bois;93;Île-de-France;45411
Saint-Denis;93;Île-de-France;111354
Saint-Ouen;93;Île-de-France;49664
Sevran;93;Île-de-France;50629
Stains;93;Île-de-France;39618
Tremblay-en-France;93;Île-de-France;35691
Villemomble;93;Île-de-France;30051
Villepinte;93;Île-de-France;36656
Alfortville;94;Île-de-France;43886
Cachan;94;Île-de-France;30208
Champigny-sur-Marne;94;Île-de-France;77409
Charenton-le-Pont;94;Île-de-France;30500
Choisy-le-Roi;94;Île-de-France;44450
Créteil;94;Île-de-France;89392
Fontenay-sous-Bois;94;Île-de-France;53424
Fresnes;94;Île-de-France;27416
L' Haÿ-les-Roses;94;Île-de-France;31189
Ivry-sur-Seine;94;Île-de-France;60771
Le Kremlin-Bicêtre;94;Île-de-France;25292
Limeil-Brévannes;94;Île-de-France;26703
Maisons-Alfort;94;Île-de-France;55289
Nogent-sur-Marne;94;Île-de-France;31947
Le Perreux-sur-Marne;94;Île-de-France;33729
Saint-Maur-des-Fossés;94;Île-de-France;74893
Sucy-en-Brie;94;Île-de-France;26279
Thiais;94;Île-de-France;29006
Villejuif;94;Île-de-France;55478
Villeneuve-Saint-Georges;94;Île-de-France;32966
Villiers-sur-Marne;94;Île-de-France;29226
Vincennes;94;Île-de-France;49853
Vitry-sur-Seine;94;Île-de-France;92755
Argenteuil;95;Île-de-France;110468
Bezons;95;Île-de-France;28976
Cergy;95;Île-de-France;63820
Eaubonne;95;Île-de-France;25161
Ermont;95;Île-de-France;29112
Franconville;95;Île-de-France;36112
Garges-lès-Gonesse;95;Île-de-France;42598
Gonesse;95;Île-de-France;26336
Goussainville;95;Île-de-France;30948
Herblay;95;Île-de-France;29066
Pontoise;95;Île-de-France;30690
Sannois;95;Île-de-France;26537
Sarcelles;95;Île-de-France;57781
Taverny;95;Île-de-France;26296
Villiers-le-Bel;95;Île-de-France;27247
Les Abymes;971;Guadeloupe;54260
Baie-Mahault;971;Guadeloupe;30868
Le Gosier;971;Guadeloupe;26666
Fort-de-France;972;Martinique;81017
Le Lamentin;972;Martinique;40175
Cayenne;973;Guyane;60580
Kourou;973;Guyane;26522
Matoury;973;Guyane;32440
Remire-Montjoly;973;Guyane;25711
Saint-Laurent-du-Maroni;973;Guyane;43799
Le Port;974;La Réunion;34810
La Possession;974;La Réunion;32973
Saint-André;974;La Réunion;55628
Saint-Benoît;974;La Réunion;38142
Saint-Denis;974;La Réunion;147920
Saint-Joseph;974;La Réunion;37629
Saint-Leu;974;La Réunion;33697
Saint-Louis;974;La Réunion;53220
Saint-Paul;974;La Réunion;105482
Saint-Pierre;974;La Réunion;84169
Sainte-Marie;974;La Réunion;33160
Le Tampon;974;La Réunion;77283
